X,block_number,block_transaction_count,block_size,block_gas_used,miners_label
2815,3906820,16,2514,839407,f2pool
2817,3906821,0,533,0,f2pool
2818,3906822,160,20664,4709688,ethermine
2833,3906823,3,933,108488,f2pool
2835,3906824,35,5805,4705664,Nanopool
2837,3906825,31,4101,4695332,miningpoolhub_1
2839,3906826,47,5979,4693494,DwarfPool1
2842,3906827,4,983,84000,f2pool
2843,3906828,46,7249,4703106,Nanopool
2844,3906829,35,5242,4568831,ethermine
2849,3906830,45,5774,4687544,miningpoolhub_1
2852,3906831,44,5572,4704385,DwarfPool1
2857,3906832,38,5879,4694895,ethfans.org
2860,3906833,42,5478,4556397,ethfans.org
2862,3906834,3,869,102000,f2pool
2863,3906835,172,19690,3737526,ethermine
2890,3906836,39,6329,4666139,ethermine
2896,3906837,3,931,289265,f2pool
2897,3906838,45,6964,4699818,ethfans.org
2903,3906839,40,5733,4692701,ethermine
2908,3906840,42,6415,4652302,miningpoolhub_1
2911,3906841,38,4953,4647086,ethfans.org
2915,3906842,44,5556,4687169,bitclubpool
2918,3906843,34,4549,4699662,Nanopool
2921,3906844,46,5771,4699998,miningpoolhub_1
2935,3906845,5,1100,144000,f2pool
2937,3906846,102,11811,2175119,ethermine
2946,3906847,66,9049,4705495,C0ea08A2d
2953,3906848,58,7233,4682211,Nanopool
2960,3906849,19,2685,417512,f2pool
2961,3906850,48,6127,4697672,Coinotron
2962,3906851,138,16136,3081484,ethermine
2967,3906852,17,3031,544329,f2pool
2974,3906853,37,5807,4697323,ethermine
2976,3906854,36,4799,4697162,C0ea08A2d
2981,3906855,45,5663,4710940,ethfans.org
2984,3906856,38,4744,815749,ethermine
2986,3906857,37,7365,4710015,ethfans.org
2992,3906858,44,5547,4654676,ethfans.org
2996,3906859,44,6446,4640995,Ethpool_2
3001,3906860,3,876,63000,f2pool
3002,3906861,42,5326,4591653,miningpoolhub_1
3003,3906862,2,820,3060000,f2pool
3004,3906863,0,533,0,f2pool
3005,3906864,5,1088,222000,f2pool
3006,3906865,3,870,102000,f2pool
3007,3906866,46,5912,4666011,Coinotron
3009,3906867,119,13802,2574765,ethermine
3022,3906868,33,4337,4683088,Coinotron
3026,3906869,18,3659,4697880,ethfans.org
3031,3906870,43,5847,4698654,Ethpool_2
3036,3906871,39,5081,4701509,ethfans.org
3050,3906872,40,5623,4693801,miningpoolhub_1
3052,3906873,33,5182,4572011,miningpoolhub_1
3053,3906874,41,5668,4609608,DwarfPool1
3056,3906875,0,533,0,f2pool
3057,3906876,72,8665,1562814,ethermine
3058,3906877,40,6104,4638568,Ethpool_2
3066,3906878,45,5596,4572372,miningpoolhub_1
3067,3906879,58,7004,1289401,ethermine
3069,3906880,8,1491,199265,f2pool
3070,3906881,31,4972,4669956,ethfans.org
3074,3906882,0,533,0,f2pool
3075,3906883,37,4764,4577080,miningpoolhub_1
3085,3906884,38,5756,4694700,miningpoolhub_1
3086,3906885,36,4776,4699492,DwarfPool1
3092,3906886,41,5230,4594785,DwarfPool1
3101,3906887,0,533,0,f2pool
3102,3906888,49,6328,4691738,Coinotron
3104,3906889,41,5195,4657383,ethfans.org
3105,3906890,46,6008,4708247,ethfans.org
3108,3906891,162,18524,3524828,ethermine
3112,3906892,34,4502,4565990,ethermine
3114,3906893,180,21136,4679822,waterhole
3123,3906894,49,5935,1032389,ethermine
3133,3906895,3,1008,88142,f2pool
3134,3906896,35,5628,4697958,ethermine
3135,3906897,54,6500,1137866,ethermine
3149,3906898,37,4873,4550030,Nanopool
3150,3906899,64,7723,1383178,ethermine
2777,3906900,35,4616,4629737,DwarfPool1
2786,3906901,34,4279,721985,ethermine
2787,3906902,4,1101,155594,f2pool
2788,3906903,1,646,21000,f2pool
2789,3906904,36,5655,4700154,Nanopool
2790,3906905,2,758,303713,f2pool
2791,3906906,44,5607,4630856,DwarfPool1
2792,3906907,151,17718,4712448,a4aaf1d
2804,3906908,0,533,0,f2pool
2805,3906909,45,5903,4694108,ethfans.org
2807,3906910,45,5763,4700916,DwarfPool1
2812,3906911,3,868,102000,f2pool
2814,3906912,41,6227,4703031,ethfans.org
2819,3906913,54,6661,4622152,ethermine
2821,3906914,41,5148,4707377,Nanopool
2825,3906915,20,2800,421966,f2pool
2830,3906916,68,9153,4624445,ethfans.org
2831,3906917,41,5217,4567357,DwarfPool1
2832,3906918,215,24782,4666048,ethermine
2855,3906919,188,21738,4130023,ethermine
2864,3906920,46,6878,4700868,DwarfPool1
2873,3906921,45,5788,4708628,ethfans.org
2881,3906922,104,12207,2232630,ethermine
2882,3906923,45,6598,4707686,Ethpool_2
2883,3906924,18,2669,425594,f2pool
2884,3906925,2,761,42000,f2pool
2885,3906926,1,646,21000,f2pool
2886,3906927,47,6954,4683190,miningpoolhub_1
2893,3906928,144,17391,4671686,eth.pp.ua
2898,3906929,76,9091,1633197,ethermine
2909,3906930,37,5087,4695678,Nanopool
2912,3906931,49,6489,4698404,DwarfPool1
2914,3906932,2,763,42000,f2pool
2916,3906933,49,6570,4575142,ethermine
2917,3906934,40,5133,4619338,Nanopool
2919,3906935,49,6091,4693125,Nanopool
2934,3906936,34,5385,4674165,Ethpool_2
2943,3906937,2,763,42000,f2pool
2945,3906938,43,5552,4694087,Coinotron
2950,3906939,46,5868,4548889,Coinotron
2954,3906940,85,10597,4708316,DwarfPool1
2963,3906941,46,6127,4701389,DwarfPool1
2965,3906942,39,4973,4705247,ethfans.org
2970,3906943,2,762,42000,f2pool
2973,3906944,37,4927,4704954,Nanopool
2975,3906945,16,2387,4694282,miningpoolhub_1
2977,3906946,29,3904,4700805,DwarfPool1
2978,3906947,45,6858,4653897,miningpoolhub_1
2979,3906948,217,25002,4673427,ethermine
2990,3906949,4,977,84000,f2pool
2991,3906950,15,2336,4708222,ethfans.org
2994,3906951,9,1603,277841,f2pool
2995,3906952,44,6510,4692457,C0ea08A2d
2997,3906953,27,3568,4628899,Nanopool
2998,3906954,218,24616,4694818,ethermine
3017,3906955,53,7768,4702474,ethermine
3021,3906956,127,14718,2782123,ethermine
3023,3906957,17,2462,357000,f2pool
3030,3906958,49,5973,1091812,ethermine
3042,3906959,105,12101,2216917,ethermine
3045,3906960,15,2185,316000,ethermine
