X,block_number,block_transaction_count,block_size,block_gas_used,block_miner
3271,3907470,40,5858,4706243,0x1e9939daaad6924ad004c2560e90804164900341
3275,3907474,43,6343,4696018,0x1e9939daaad6924ad004c2560e90804164900341
3285,3907484,22,3318,4614226,0x1e9939daaad6924ad004c2560e90804164900341
3320,3907519,26,3578,4614827,0x1e9939daaad6924ad004c2560e90804164900341
3340,3907537,45,5718,4698260,0x1e9939daaad6924ad004c2560e90804164900341
3361,3907208,37,5092,4700377,0x1e9939daaad6924ad004c2560e90804164900341
3370,3907215,21,3080,4697756,0x1e9939daaad6924ad004c2560e90804164900341
3382,3907556,35,4534,4704694,0x1e9939daaad6924ad004c2560e90804164900341
3390,3907564,37,4944,4708112,0x1e9939daaad6924ad004c2560e90804164900341
3393,3907567,37,5108,4552812,0x1e9939daaad6924ad004c2560e90804164900341
3409,3907304,42,5335,4690796,0x1e9939daaad6924ad004c2560e90804164900341
3410,3907228,39,6883,4673672,0x1e9939daaad6924ad004c2560e90804164900341
3417,3907578,18,2678,4692419,0x1e9939daaad6924ad004c2560e90804164900341
3424,3907582,28,4034,4702314,0x1e9939daaad6924ad004c2560e90804164900341
3445,3907592,39,4963,4589910,0x1e9939daaad6924ad004c2560e90804164900341
3451,3907594,39,5120,4679692,0x1e9939daaad6924ad004c2560e90804164900341
3467,3907247,41,6514,4670013,0x1e9939daaad6924ad004c2560e90804164900341
3468,3907248,23,3174,4691560,0x1e9939daaad6924ad004c2560e90804164900341
3484,3907256,43,5933,4660891,0x1e9939daaad6924ad004c2560e90804164900341
3498,3907334,6,1209,4702000,0x1e9939daaad6924ad004c2560e90804164900341
3505,3907265,46,5902,4690788,0x1e9939daaad6924ad004c2560e90804164900341
3510,3907341,40,5104,4628143,0x1e9939daaad6924ad004c2560e90804164900341
3516,3907273,33,4311,4623914,0x1e9939daaad6924ad004c2560e90804164900341
3528,3907282,23,3206,4711746,0x1e9939daaad6924ad004c2560e90804164900341
3539,3907103,39,5010,4690122,0x1e9939daaad6924ad004c2560e90804164900341
3543,3907287,32,4206,4616385,0x1e9939daaad6924ad004c2560e90804164900341
3546,3907290,39,4921,4653951,0x1e9939daaad6924ad004c2560e90804164900341
3554,3907295,29,4277,4627250,0x1e9939daaad6924ad004c2560e90804164900341
3559,3907298,35,4506,4574993,0x1e9939daaad6924ad004c2560e90804164900341
3561,3907353,39,4950,4591470,0x1e9939daaad6924ad004c2560e90804164900341
3564,3907354,43,5457,4703375,0x1e9939daaad6924ad004c2560e90804164900341
3575,3907360,43,5527,4696292,0x1e9939daaad6924ad004c2560e90804164900341
3579,3907114,32,4911,4691782,0x1e9939daaad6924ad004c2560e90804164900341
3583,3907118,36,5263,4628228,0x1e9939daaad6924ad004c2560e90804164900341
3587,3907120,43,5565,4623669,0x1e9939daaad6924ad004c2560e90804164900341
3596,3907372,40,5258,4677368,0x1e9939daaad6924ad004c2560e90804164900341
3616,3907386,48,6140,4683284,0x1e9939daaad6924ad004c2560e90804164900341
3634,3907136,50,6845,4693410,0x1e9939daaad6924ad004c2560e90804164900341
3638,3907140,39,5037,4594350,0x1e9939daaad6924ad004c2560e90804164900341
3641,3907398,39,4957,4702760,0x1e9939daaad6924ad004c2560e90804164900341
3643,3907142,45,7425,4659434,0x1e9939daaad6924ad004c2560e90804164900341
3646,3907145,40,5714,4663141,0x1e9939daaad6924ad004c2560e90804164900341
3659,3907158,45,5788,4611915,0x1e9939daaad6924ad004c2560e90804164900341
3662,3907161,24,3350,4583637,0x1e9939daaad6924ad004c2560e90804164900341
3664,3907163,42,5393,4662600,0x1e9939daaad6924ad004c2560e90804164900341
3665,3907164,40,5109,4666318,0x1e9939daaad6924ad004c2560e90804164900341
3679,3907178,39,5669,4711169,0x1e9939daaad6924ad004c2560e90804164900341
3680,3907179,7,1399,4624622,0x1e9939daaad6924ad004c2560e90804164900341
3685,3907184,35,4600,4698857,0x1e9939daaad6924ad004c2560e90804164900341
3686,3907185,47,6699,4705253,0x1e9939daaad6924ad004c2560e90804164900341
3689,3907188,42,5428,4602361,0x1e9939daaad6924ad004c2560e90804164900341
3690,3907189,46,5928,4661847,0x1e9939daaad6924ad004c2560e90804164900341
3694,3907193,44,5734,4711838,0x1e9939daaad6924ad004c2560e90804164900341
3725,3907624,37,5223,4680263,0x1e9939daaad6924ad004c2560e90804164900341
3730,3907629,33,4600,4695791,0x1e9939daaad6924ad004c2560e90804164900341
3741,3907640,38,4998,4695801,0x1e9939daaad6924ad004c2560e90804164900341
3755,3907654,26,4149,4693141,0x1e9939daaad6924ad004c2560e90804164900341
3763,3907662,29,5001,4695460,0x1e9939daaad6924ad004c2560e90804164900341
3767,3907666,52,8166,4654929,0x1e9939daaad6924ad004c2560e90804164900341
3780,3907679,23,10457,4636623,0x1e9939daaad6924ad004c2560e90804164900341
3795,3907694,42,5426,4674607,0x1e9939daaad6924ad004c2560e90804164900341
3799,3907698,38,5022,4693167,0x1e9939daaad6924ad004c2560e90804164900341
3807,3907706,45,5763,4702172,0x1e9939daaad6924ad004c2560e90804164900341
3808,3907707,36,4961,4653372,0x1e9939daaad6924ad004c2560e90804164900341
3810,3907709,43,5469,4683395,0x1e9939daaad6924ad004c2560e90804164900341
3813,3907712,40,5201,4697008,0x1e9939daaad6924ad004c2560e90804164900341
3828,3907727,42,5409,4700911,0x1e9939daaad6924ad004c2560e90804164900341
3848,3907747,59,8016,4560727,0x1e9939daaad6924ad004c2560e90804164900341
3867,3907766,41,5607,4699450,0x1e9939daaad6924ad004c2560e90804164900341
3875,3907774,71,11339,4699485,0x1e9939daaad6924ad004c2560e90804164900341
3883,3907782,29,4136,4707823,0x1e9939daaad6924ad004c2560e90804164900341
3894,3907793,41,7473,4704848,0x1e9939daaad6924ad004c2560e90804164900341
3910,3907809,54,8168,4670546,0x1e9939daaad6924ad004c2560e90804164900341
3911,3907810,49,7211,4670493,0x1e9939daaad6924ad004c2560e90804164900341
3921,3907820,50,6691,4686668,0x1e9939daaad6924ad004c2560e90804164900341
3928,3907827,48,6497,4530338,0x1e9939daaad6924ad004c2560e90804164900341
3929,3907828,71,9253,4585925,0x1e9939daaad6924ad004c2560e90804164900341
3948,3907847,19,2850,1019979,0x1e9939daaad6924ad004c2560e90804164900341
3954,3907853,8,1581,4699940,0x1e9939daaad6924ad004c2560e90804164900341
3982,3907913,75,9134,4704655,0x1e9939daaad6924ad004c2560e90804164900341
4003,3907877,62,15755,4706328,0x1e9939daaad6924ad004c2560e90804164900341
4004,3907925,54,6716,3693900,0x1e9939daaad6924ad004c2560e90804164900341
4006,3907927,67,8543,4568567,0x1e9939daaad6924ad004c2560e90804164900341
4008,3907928,42,5912,4583432,0x1e9939daaad6924ad004c2560e90804164900341
4016,3907884,70,8699,4584173,0x1e9939daaad6924ad004c2560e90804164900341
4027,3907938,55,6841,4703785,0x1e9939daaad6924ad004c2560e90804164900341
4034,3907945,74,9023,4550388,0x1e9939daaad6924ad004c2560e90804164900341
4035,3907888,32,4817,4641847,0x1e9939daaad6924ad004c2560e90804164900341
4055,3907954,25,3600,4700278,0x1e9939daaad6924ad004c2560e90804164900341
4059,3907958,37,5227,4689595,0x1e9939daaad6924ad004c2560e90804164900341
4075,3907974,45,5616,4606416,0x1e9939daaad6924ad004c2560e90804164900341
4076,3907975,39,12278,4645480,0x1e9939daaad6924ad004c2560e90804164900341
4083,3907982,48,6404,4656332,0x1e9939daaad6924ad004c2560e90804164900341
4088,3907987,52,7299,4676880,0x1e9939daaad6924ad004c2560e90804164900341
4094,3907993,77,9966,4666421,0x1e9939daaad6924ad004c2560e90804164900341
4100,3907999,20,3455,3289815,0x1e9939daaad6924ad004c2560e90804164900341
4110,3908009,67,8309,4551987,0x1e9939daaad6924ad004c2560e90804164900341
4122,3908021,69,8939,4231965,0x1e9939daaad6924ad004c2560e90804164900341
5,3903904,32,4098,4698626,0x215c86bc952b0d98c4b2313a0a9ae56fa33c7f5d
430,3904496,56,6898,4646346,0x215c86bc952b0d98c4b2313a0a9ae56fa33c7f5d
3035,3906755,44,6687,4664188,0x215c86bc952b0d98c4b2313a0a9ae56fa33c7f5d
3446,3907238,38,4966,4627174,0x215c86bc952b0d98c4b2313a0a9ae56fa33c7f5d
3534,3907102,27,3596,4683884,0x215c86bc952b0d98c4b2313a0a9ae56fa33c7f5d
